Sr.No.,Facility ID,Facility Name,Facility Type,Facility Address,Facility Contact,Specialities,Date of Establishment,Empanelment Year,Directions
,,,,,,,,,
1,HOSP10P25123129,CARE MULTI SPECIALITY HOSPITAL,Hospital,"North Of Bharat Milap Chowk, Near J.P X-Ray, Bhagwan Bazar, Chapra, Saran,",7543032791,SL,20-03-2025,22-10-2025,
2,HOSP10P26142465,YADUVANSHI RAI MEMORIAL MULTI SPECIALTY HOSPITAL,Hospital,"MUNICIPAL CHOWK ,",9931007158,"MG, SG, SB",20-07-2021,06-02-2026,
3,HOSP10P25144893,JANKI DEVI MEMORIAL HOSPITAL,Hospital,"TAKATH DHENUKI,",9899563730,,24-10-2024,16-05-2025,
4,HOSP10P25179500,JEEVANDEEP HOSPITAL,Hospital,"Near Sub Divisional Hospital sonepur,",9334856373,"SG, SO",26-08-2024,22-10-2025,
5,HOSP10P25225037,ANAAMIKA ORTHOPAEDIC CENTER AND MULTISPECIALTY HOSPITAL PVT LTD,Hospital,"STATION ROAD SITALPUR ,",7991188625,,05-05-2022,30-05-2025,
6,HOSP10P25226954,SHRINIVAS G EDUCATIONAL AND RESEARCH INSTITUTE OF MEDICAL SCIENCES,Medical College Hospital,"AT SHRINIVAS NAGAR, KAMALPUR, NR ALONI BAZAR,GARKHA HIGHWAY, GARKHA,",7004951953,"MG, SG, MN, SN,ÿ...Read More",01-11-2023,11-09-2025,
7,HOSP10P25257136,chapra ortho care,Hospital,"chapra ortho care ,infront of bhagwan bazar thana, thana road ,bhagwan bazar",9163992735,SB,02-10-2022,28-05-2025,
8,HOSP10P25271648,SARAN HEART CARE,Hospital,"North Of Bharat Milap Chowk, Railway Colony Road, Near Govt Middle School, Bhagwan Bazar, Chapra,",9431558210,MC,01-10-2024,11-09-2025,
9,HOSP10P25272950,Mridula Eye Clinic,Hospital,"Ganga singh college road Salempur Chapra,",8084910137,SE,12-12-2024,21-05-2025,
10,HOSP10P02773,Meera Hospital,Hospital,"NH 19, Kashi Bazar, ,Bhagwan Bazar, Chapra",9661646690,,01-02-2012,30-07-2019,
11,HOSP10P04249,AKHILESHWARI DANTCHIKITSALAY AND EYE CARE,Daycare Centre,"AKHILESHWARI DANTCHIKITSALAY AND EYE CARE,SADHU SARAN NAGAR, NEAR SABZI MARKET, MARHOWRAH",9471472751,SE,01-01-2015,12-12-2018,
12,HOSP10P24718,AKHAND JYOTI EYE HOSPITAL,Hospital,"Shrirameshpuram, Saidpur, Mastichak,",9934752812,SE,16-11-2004,12-12-2018,
13,HOSP10P85540,TRIPATHI NURSING HOME,Hospital,CHHATRADHARI BAZAR SOUTH OF JAIL CHAPRA,9771550445,"SG, SU",01-04-1990,NA,
14,HOSP10P103134,SRI SIDDHI VINAYAK MATERNITY AND TRAUMA CENTRE,Hospital,"KASHI BAZARA,NEAR MEERA HOSPITAL",9801572180,SB,01-10-2024,17-02-2020,
15,HOSP10P132733,THE ORNATE HOSPITALS,Hospital,"THE ORNATE HOSPITALS (A UNIT OF SHRI HARIBANSH HOSPITAL PRIVATE LIMITED), ANGREZI BAZAR,IN FRONT OF SUB-DIVISIONAL HOSPITAL, SONEPUR, SARAN, BIHAR",8789951708,,21-09-2021,23-08-2022,
16,HOSP10P147981,KUMAR HEALTH CARE AND RESEARCH CENTRE,Hospital,"kumar health,dr sajal kumar,mahmood chowk ,dahiyawa,",9973005000,,09-08-2009,10-07-2024,
17,HOSP10P157257,SAMAY HOSPITAL (A UNIT OF GLASGOW HOSPITAL PVT. LTD.),Hospital,"Near Bazar Samiti, Sandha Road, Chapra,",9264292247,MG,10-08-2022,19-02-2025,
18,HOSP10P162741,Life Care Hospital,Hospital,"Ramrajwya Chowk,",9431216762,"MG, SG, SU",01-01-2003,12-11-2024,
,,,,,,,,,
Government,,,,,,,,,
,,,,,,,,,
Sr.No.,Facility ID,Facility Name,Facility Type,Facility Address,Facility Contact,Specialities,Date of Establishment,Empanelment Year,Directions
,,,,,,,,,
